Id,Tweet,following,followers,actions,is_retweet,location,Type
2198,"NFL Owners Condemn Trump For Supporting Our Cops, Vets and Flag https://t.co/XC6sHo4Gyu",4779,1565,1173,0,Around the world,Spam
5403,& how's it visible to the eye? If you don't answer this correctly w/ the answer YOU KNOW YOURE HIDING I'm done @Magicevomonkey. Not playing,0,100,2028,1,Tangerang,Spam
11659,Australian Open champion Kerber falls in Paris first round  #sports,8606,12299,22201,0,Hoshido,Spam
10570,Beautiful new editions of some of our favourite poetry? Why thank you @FaberBooks don't mind if we do!pic.twitter.com/vhmorUi5Ho,0,0,4,0,"Linlithgow, Scotland, UK",Quality
8426,"Remy was killing shit long before ""Lean Back'. It ain't our fault y'all bitches are like 19 and don't know what's up.",547,471,4840,1,"Joplin, Missouri",Spam
11586,When James Clapper got away with perjury - American Thinker #MAGA #NSA #PJNET 999 https://t.co/uoiAXcdvdQ https://t.co/pYuBG1CFmW,10,4,1266,0,Free State of Indiana,Spam
9788,#politics France hunts for 2 suspects; Nation mourns their victims,0,1,4,0,Michigan,Spam
264,Now Playing: Young MA - Hot Sauce -&gt; https://t.co/eMX9JgTv3v,739,801,5451,0,louis tomlinson | tvxq,Spam
4141,Trump Crashes New Jersey Wedding https://t.co/ikqWWmtlCg https://t.co/c9mo3xL7Yc,7121,16705,17951,0,LDN - LEI,Spam
5627,2 Attacked by Hawks on NYC College Campus: Officials https://t.co/tVL2xHitu0,6789,59612,49649,0,"Exton, England",Spam
11834,Friday Football Fever: Week 9 Video https://t.co/XnNP0Exvwp #news,5171,25363,42960,0,♪♩♭♪,Spam
11464,North Side Chase Ends With Crash Into Gas Station Under Construction  #news,3274,13160,15861,0,DUSK HYPE TRAIN!,Spam
812,desserts attract me.,0,0,,1,Not in her comfort zone,Quality
10347,Can I joined? https://twitter.com/Ashton_Appr_acc/status/732581282836676609 …,0,0,,0,manila,Quality
6214,#Al_Shabab's lessons for #IslamicState  https://t.co/e6Rytm6Njt https://t.co/qOUHIW2CZl,7302,16504,2488,0,Sumwhere in Red in the A  🌈,Spam
3661,Glory to #God not what's downloaded on your iPod..,997,1057,1790,1,LA - TX,Spam
8288,Good morning tweeps what's for breakfast,0,0,0,0,"Dallas, TX",Quality
8817,BREAKING: Social Security Amounts Under Trump WILL Increase To https://t.co/0WVf1wB6KI https://t.co/rt2EVwv0UX,3135,2695,2330,1,The Wirral,Spam
6160,"#TurkeyAggressor Could #RussianPlane The Greek Analyst added,",121,70,303,0,"malaysia, currently in london",Spam
11276,"AND TISOY @aldenrichards02  POSTED LETTER LIKE M
#ALDUBLoversInITALYpic.twitter.com/rUYNKR3vw5",0,0,0,0,KUWAIT,Quality
6181,http://www.dailymail.co.uk/news/article-3593243/The-terrifying-moment-free-speech-crushed-brutal-Kenyan-riot-police.html … #StopPoliceBrutality . Absolutely disgusting. Terrible behaviour from police.,0,0,45,0,Gravesend UK,Quality
2895,Edible #bouquet anyone? Stunning arrangements fit for any foodie #bride. #wedding http://www.thebridalguide.ca/2016/05/stunning-bouquets-fit-for-the-foodie-bride/ …pic.twitter.com/yL7IxYb8cQ,12600,18300,,0,Ontario,Quality
6011,"*gets hit by a car*
Passerby: “ARE YOU OKAY?”
Me: “Please… I need my.. phone”
*opens Twitter*
Me: “LMFAO YALL GUESS WHAT""",16200,23200,1457,0,Peep @k_sinatra7 or you fake,Quality
11305,That's him I'm usually what they whisper bout either what chick he wit or his chip amount,0,22200,20,0,#MIA,Quality
10754,The first wave of Riot Fest lineup announcements will be coming your way tomorrow 9am CDT / 8 am MDT:http://ow.ly/xhEM300hVx8,13700,73900,316,0,Chicago,Quality
1978,me horny too,0,0,0,0,"Tauranga City, New Zealand",Quality
11071,Merkel Wants to Use Failed Iran Deal as Model to Solve North Korea Problem  https://t.co/DAkGReM4js,4745,2287,722,0,"Cologne, Germany",Spam
8115,#TopVideo Gay couples officially tie the knot after ruling http://t.co/pL2hilBtHa,8228,11787,4757,0,"Smith Mountain Lake, VA",Spam
2323,Fidel at 90: a Revolutionary Life --American tribute to #Castro https://t.co/7ul7gmUFdj by @NatCounterPunch,550,463,2539,1,#etalk,Spam
1909,Cure cancer. Become a millionaire.https://twitter.com/throwitto8/status/732442828358307840 …,0,0,0,0,,Quality
3243,Full weekend of events planned to remember Tamir Rice: Sunday will mark one year since the tr... https://t.co/pAlrorRVDO #Cleveland #news,13400,12871,10960,0,Cloud 9.,Spam
11578,Crews continue to repair water main break in Baltimore County https://t.co/xjNbCmKJ3b https://t.co/C61BpAYDQf,6498,7242,16920,0,above ground,Spam
9299,All the action! It's action packed from start to finish! https://t.co/izPzgq2iXW,45,59,52,1,Where you're not,Spam
763,Advice from our Publishing Director @KateEParkin on #writing for our #BeOurBeseller comp with @WHSmith - http://bit.ly/1TdYM2F,0,0,13,0,Maryland,Quality
4527,Brick WILL have his moment at graduation if Frankie has anything to say about it!https://amp.twimg.com/v/fbdb485b-e9c5-4de9-9bbc-cc853e17ba0a …,0,190000,441,0,,Quality
1533,A designing Villanova priest and the art of the vestment https://t.co/HfGjzrlUTn https://t.co/GicaZUqIef,8090,16165,15149,0,SYCO ENTERTAINMENT. LA/LONDON,Spam
717,Grassroots Conservative Group Calls on Senate GOP to DITCH MITCH! https://t.co/ZDquHQmD3m https://t.co/4gywbzFa2p,0,1,875,0,SIMP J01365663+0933473,Spam
2311,"Houston 1 of 3 cities driving national murder rate higher, report says https://t.co/LfChNpSnUF https://t.co/vK0O3ZpMhN",6634,16635,17664,0,"Newfane, NY 14108 USA",Spam
11322,@champagne_ste hello! Could we order three gas? Could you take all bottles away too as they're empty,0,0,,0,Bolton,Quality
7754,"Friends Travel 3,000 Miles for St. Patty's Day Tradition https://t.co/DhyU3bWmAC https://t.co/1Ks63UGKot",7560,16053,14449,0,"Addison, TX",Spam
5899,We've had nearly 500 Galway 2020 badges added in the last 24hrs! Thanks so much guys :) https://twitter.com/BlueNoteGalway/status/732579509715623936 …,15000,23200,,0,Galway / Gaillimh,Quality
50,"And I'm sick now, I just want to go home and die tbh",0,0,,0,I would die for Bill hxh,Quality
10540,Air Jordan 10 “Shanghai” // Detailed Look: The Air Jordan 10 “City Series” revival has be... http://bit.ly/1OBJcM1  ... via  @NiceKicks,0,0,0,0,Africa,Quality
8011,"This week, the Senate can join the House &amp; take a strong stand for the Middle Class families who are the backbone of America. Together, we will give the American people a big, beautiful Christmas present-a massive tax cut that lets Americans keep more o... https://t.co/FgxcmthCiS https://t.co/p7s7tFY0dn",246,2539,156730,0,"Haryana, India",Spam
6926,I'm getting tested for the breast cancer gene.. Wish it was something a little cooler,0,0,0,0,,Quality
9451,Jennylyn Mercado kind of woman sa Just The Three of Us.,0,0,23,0,ust ab,Quality
1173,"@hiitskendra thanks to your podcasts, I feel kind of prepared for being completely unprepared for momhood. #LazyGenius #LazySister",0,0,,0,,Quality
489,"March 3, 1991: Rodney King beating caught on video  https://t.co/HmgUUZgk39  25 years later #PoliceBrutality still continues",4288,4027,1421,0,"Bay Area, CA",Spam
12351,which company did you pick?,0,0,,1,"Los Angeles, CA",Quality
12183,Shocking Dashcam: Cops Walk Up to a Man for Looking Suspicious and Kill Him on the Ground  https://t.co/gpxZPoEWHr https://t.co/IYO5dBYjie,2970,2150,376,0,"Smith Mountain Lake, VA",Spam
5204,#politics Bush to welfare women in 1994: 'Get a husband',74,173,8976,1,"Bruxelles, Belgique",Spam
862,"Once again, @sonamakapoor has taken over the #Cannes red carpet: http://bit.ly/1WCj6en pic.twitter.com/oL0R7wPG2k",0,554000,,0,New Delhi,Quality
9460,Imagine if this were your reaction to a fictional TV show.pic.twitter.com/r1OJ3oiPE5,0,0,46,0,"Hendersonville, NC",Quality
11091,On Air: Bryan Kearney@Energy Box London 23 Feb 13 > http://bit.ly/1O359yf  > Playing Mauro Picotto - Ultimahora Ibiza (Original Mix),0,0,0,0,Italy,Quality
12295,REPORT : Diva Megyn Kelly Already CAUSING CHAOS at NBC! https://t.co/KtGQ6IRz32 #BEER https://t.co/P9VvgLC57H,0,1,69,0,somewhere in france,Spam
1444,"Which strand of conservative Islam is bigger challenge for Bosnia?  Good reporting by @MalcolmBrabant @NewsHour
http://ow.ly/TXV8300hpfw",0,0,2,0,Global,Quality
6960,Pay For A Date https://wn.nr/x7RSbV,0,0,0,0,"Asti, Piedmont",Quality
2878,"They look like they're getting bigger every year! Yay, finally my prayers have been answered!! Haha! #EvilBoobs https://twitter.com/bieberrilla/status/732366850516996096 …",0,745000,,0,"B'klyn, NYC, LA",Quality
3280,Right after you endorse Cruz and admit selling out to the GOPe. #KYPrimary,0,0,,1,PA,Quality
